sku,title,description,price,availability,imageURL,linkURL
73242,Dripping in Gold,"Half shiny, half glitter and bead snowcap, this glass ornament features the best of both worlds. ",7.99,TRUE,https://www.katandannie.com/img/product/73242.frt-Z.jpg?fv=71652212B9CAFB5B86E85D236ACF5348-120440,https://www.katandannie.com/dripping-in-gold-73242
73204,Elegant Gold Leaf Pattern Round,Gold micro-bead leaf patterns cover our glittered green glass ornament creating a spectacular effect. ,11.99,FALSE,https://www.katandannie.com/img/product/73204.frt-Z.jpg?fv=E579601CC8AB53D02568CC54A023926A-186530,https://www.katandannie.com/elegant-gold-leaf-pattern-round-73204
78295,Feathered Round,This iridescent glass round features a flock full of feathers to give this round an  outdoorsy touch.,8.99,TRUE,https://www.katandannie.com/img/product/78295_1-Z.jpg?fv=CB36EB2A160790474B652638E5868CA6-47347,https://www.katandannie.com/feathered-round-78295
73158,Festive Christmas Tree,You can never have enough twinkling lights and snow capped trees decorating the season!,11.99,FALSE,https://www.katandannie.com/img/product/73158.bk-Z.jpg?fv=4CC46EC63FEE3305541F949FE44F2070-72805,https://www.katandannie.com/festive-christmas-tree-73158
78448,Festive Piñata,Add some festivity to your tree this year with this brightly decorated glass piñata.,11.99,TRUE,https://www.katandannie.com/img/product/78448_1-Z.jpg?fv=A0F00B1F16C5D0EA96472703FF74F541-64004,https://www.katandannie.com/festive-pinata-78448
73206,Festive Tinsel Moose,This is one Glamorous Moose. He's dressed and ready for this holiday season. ,10.99,TRUE,https://www.katandannie.com/img/product/73206.frt-Z.jpg?fv=22F3F69381C064CCD486F1BCFBC4B537-106914,https://www.katandannie.com/festive-tinsel-moose-73206
78283,Fleece Navidad,"Bah, Bah, this sheep is all tangled up in some Christmas Lights featuring ""Fleece Navidad"".",6.99,TRUE,https://www.katandannie.com/img/product/78283_1-Z.jpg?fv=41EC08379E211A29A6E27CB6CF7E5FFD-55461,https://www.katandannie.com/fleece-navidad-78283
78288,Foxy Diamond,This cute smiley fox is featured on a orange shiny square with a button nose and sparkly ears.,8.99,TRUE,https://www.katandannie.com/img/product/78288_1-Z.jpg?fv=7605295F55BC92A7F8923BF99CD5EB15-49959,https://www.katandannie.com/foxy-diamond-78288
78677,Froot Loops™ Vintage Cereal Box,   Follow your nose! Celebrate your favorite cereal with Toucan Sam™ on our Vintage Kellogg's® Froot Loops™ cereal box glass ornament.   ,14.99,TRUE,https://www.katandannie.com/img/product/78677.frt-Z.jpg?fv=6D3FAB08272AA99708015D7C01A4AFC0-96223,https://www.katandannie.com/froot-loops-vintage-cereal-box-78677
83207,Frosted Feather Tulip,Frosted glass fades to translucent revealing a beautiful white feather inside this classic glass ornament.,8.99,TRUE,https://www.katandannie.com/img/product/83207.-Z.jpg?fv=0AD9E1C6238F79B9C2B6EDDC32057984-22351,https://www.katandannie.com/frosted-feather-tulip-83207
71774,Frosty White Round with Red Cardinal,Gentle red cardinals sit atop delicate birch branches that encircle this frosted glass round.,6.99,TRUE,https://www.katandannie.com/img/product/71774_1-Z.jpg?fv=AA82F3306296F29D59E27E40813833A6-44021,https://www.katandannie.com/frosty-white-round-with-red-cardinal-71774
71770,Frosty White Tulip with Red Cardinal,Gentle red cardinals sit atop delicate birch branches that encircle this frosted glass tulip.,6.99,TRUE,https://www.katandannie.com/img/product/71770_1-Z.jpg?fv=A58D325BB55977C783E9F744DF57B9A5-34710,https://www.katandannie.com/frosty-white-tulip-with-red-cardinal-71770
